@relation C__Users_oscar_git_UC3M_IntegracionSistemas_testJsoup
@attribute x_0 numeric
@attribute x_1 numeric
@data
1,1.37838
2,1.37407
3,1.3618
4,1.39514
5,1.4201
6,1.42283
7,1.44499
8,1.44122
9,1.43211
10,1.41195
11,1.41501
12,1.41838
13,1.42832
14,1.40375
15,1.38576
16,1.36684
17,1.35071
18,1.34552
19,1.35054
20,1.35475
21,1.34587
22,1.34134
23,1.36295
24,1.37715
25,1.36696
26,1.37506
27,1.37831
28,1.38904
29,1.41011
30,1.41458
31,1.39771
32,1.377
33,1.37045
34,1.36261
35,1.37442
36,1.34226
37,1.31128
38,1.3089
39,1.30476
40,1.32384
41,1.32951
42,1.34868
43,1.34269
44,1.32921
45,1.32648
46,1.33391
47,1.33265
48,1.33919
49,1.36418
50,1.37299
51,1.3763
52,1.36406
53,1.35949
54,1.36081
55,1.37063
56,1.38201
57,1.40132
58,1.3974
59,1.38042
60,1.36146
61,1.35935
62,1.36065
63,1.36171
64,1.34727
65,1.33856
66,1.33592
67,1.33654
68,1.34376
69,1.35688
70,1.36061
71,1.34682
72,1.35756
73,1.34256
74,1.33522
75,1.33931
76,1.33581
77,1.3357
78,1.33844
79,1.34008
80,1.34201
81,1.33526
82,1.32339
83,1.31489
84,1.3198
85,1.31912
86,1.32032
87,1.32881
88,1.32682
89,1.31493
90,1.32193
91,1.32562
92,1.32692
93,1.3161
94,1.32018
95,1.34075
96,1.34699
97,1.33788
98,1.3279
99,1.32093
100,1.31872
101,1.31568
102,1.32455
103,1.32624
104,1.31909
105,1.32461
106,1.32761
107,1.32662
108,1.31867
109,1.31281
110,1.31312
111,1.29832
112,1.27406
113,1.25962
114,1.26424
115,1.2658
116,1.26267
117,1.24119
118,1.22873
119,1.19521
120,1.1624
121,1.10208
122,1.07952
123,1.05688
124,1.05948
125,1.07198
126,1.10819
127,1.14062
128,1.16226
129,1.17136
130,1.1782
131,1.17885
132,1.15982
133,1.15604
134,1.15289
135,1.17989
136,1.19677
137,1.20076
138,1.20452
139,1.20256
140,1.20361
141,1.20073
142,1.19456
143,1.18598
144,1.18239
145,1.17722
146,1.17778
147,1.15761
148,1.14532
149,1.13787
150,1.1198
151,1.10581
152,1.09632
153,1.08698
154,1.05398
155,1.08102
156,1.08544
157,1.07239
158,1.07104
159,1.07034
160,1.07748
161,1.06295
162,1.05095
163,1.05299
164,1.06748
165,1.06571
166,1.05133
167,1.05355
168,1.0392
169,1.00597
170,0.96251
171,0.95779
172,0.93365
173,0.90948
174,0.91814
175,0.93003
176,0.91983
177,0.92861
178,0.92962
179,0.94636
180,0.97118
181,0.97767
182,0.97615
183,0.95372
184,0.97094
185,0.98623
186,1.00422
187,1.00568
188,1.00799
189,1.0321
190,1.04821
191,1.05546
192,1.05675
193,1.05234
194,1.0478
195,1.05043
196,1.04163
197,1.0305
198,1.02662
199,1.01479
200,0.99632
201,1.00354
202,1.02367
203,1.03745
204,1.03475
205,1.02766
206,1.02865
207,1.02816
208,1.03297
209,1.05309
210,1.06738
211,1.07349
212,1.07512
213,1.06148
214,1.04164
215,1.04124
216,1.05945
217,1.06999
218,1.08981
219,1.1057
220,1.12756
221,1.13688
222,1.12907
223,1.12373
224,1.12278
225,1.12456
226,1.12752
227,1.13111
228,1.13376
229,1.132
230,1.12505
231,1.1058
232,1.09644
233,1.09437
234,1.10857
235,1.12552
236,1.10945
237,1.09327
238,1.07974
239,1.08244
240,1.08767
241,1.07935
242,1.06065
243,1.05007
244,1.04145
245,1.03907
246,1.04874
247,1.04821
248,1.0544
249,1.061
250,1.07229
251,1.07315
252,1.07055
253,1.06713
254,1.07236
255,1.08445
256,1.08951
257,1.09492
258,1.10702
259,1.10893
260,1.10424
261,1.10969
262,1.11001
263,1.1209
264,1.13464
265,1.13689
266,1.13536
267,1.13513
268,1.13358
269,1.13764
270,1.14615
271,1.15564
272,1.16362
273,1.16575
274,1.16353
275,1.16279
276,1.15363
277,1.1325
278,1.12988
279,1.13684
280,1.13107
281,1.12976
282,1.14038
283,1.1552
284,1.16414
285,1.17326
286,1.18338
287,1.19079
288,1.20713
289,1.22782
290,1.24083
291,1.24256
292,1.23796
293,1.23237
294,1.22311
295,1.22172
296,1.2291
297,1.22925
298,1.22144
299,1.22178
300,1.22621
301,1.22661
302,1.22854
303,1.23038
304,1.23876
305,1.24642
306,1.24753
307,1.24479
308,1.25024
309,1.27148
310,1.28492
311,1.27565
312,1.27655
313,1.27483
314,1.2631
315,1.24738
316,1.22569
317,1.19564
318,1.17662
319,1.16362
320,1.12984
321,1.14832
322,1.1663
323,1.17768
324,1.18495
325,1.19086
326,1.20036
327,1.21989
328,1.22546
329,1.22887
330,1.2301
331,1.22848
332,1.22841
333,1.23249
334,1.24222
335,1.25737
336,1.25808
337,1.25794
338,1.25911
339,1.26094
340,1.24711
341,1.21912
342,1.1992
343,1.19423
344,1.20147
345,1.20521
346,1.21054
347,1.213
348,1.212
349,1.217
350,1.208
351,1.2
352,1.198
353,1.2
354,1.209
355,1.226
356,1.229
357,1.221
358,1.213
359,1.211
360,1.214
361,1.215
