@relation C__Users_oscar_git_UC3M_IntegracionSistemas_testJsoup
@attribute x_0 numeric
@attribute x_1 numeric
@data
1,1.43015
2,1.42926
3,1.44068
4,1.47055
5,1.51197
6,1.51262
7,1.52248
8,1.51897
9,1.50139
10,1.46175
11,1.47521
12,1.47709
13,1.49833
14,1.43675
15,1.39167
16,1.38032
17,1.36448
18,1.37166
19,1.37431
20,1.37699
21,1.37598
22,1.37449
23,1.40041
24,1.42382
25,1.41244
26,1.42729
27,1.45307
28,1.46167
29,1.48413
30,1.50943
31,1.48852
32,1.45459
33,1.44351
34,1.45279
35,1.4645
36,1.42824
37,1.40351
38,1.40269
39,1.39693
40,1.405
41,1.41207
42,1.4373
43,1.4361
44,1.43033
45,1.42419
46,1.42553
47,1.42097
48,1.42228
49,1.45092
50,1.47297
51,1.47151
52,1.45756
53,1.4509
54,1.44892
55,1.45681
56,1.47019
57,1.47778
58,1.45393
59,1.4246
60,1.41584
61,1.41147
62,1.4072
63,1.40781
64,1.39928
65,1.38344
66,1.37857
67,1.39087
68,1.40012
69,1.40588
70,1.40501
71,1.39644
72,1.40734
73,1.39544
74,1.38709
75,1.38876
76,1.38725
77,1.38772
78,1.39643
79,1.40244
80,1.40772
81,1.39975
82,1.39241
83,1.39259
84,1.39857
85,1.39973
86,1.41012
87,1.42779
88,1.42751
89,1.41704
90,1.41549
91,1.42359
92,1.42824
93,1.42191
94,1.42784
95,1.44891
96,1.4568
97,1.45235
98,1.44414
99,1.43707
100,1.4243
101,1.40548
102,1.41027
103,1.41436
104,1.40689
105,1.41301
106,1.41656
107,1.41568
108,1.40589
109,1.40194
110,1.40507
111,1.39242
112,1.35236
113,1.32858
114,1.3318
115,1.33131
116,1.32847
117,1.30815
118,1.29378
119,1.25372
120,1.21759
121,1.15096
122,1.13205
123,1.11731
124,1.12142
125,1.13621
126,1.17867
127,1.20947
128,1.22511
129,1.23732
130,1.25898
131,1.26942
132,1.26168
133,1.26715
134,1.2614
135,1.28792
136,1.30752
137,1.31701
138,1.31491
139,1.31056
140,1.31523
141,1.31862
142,1.3234
143,1.33014
144,1.3377
145,1.32502
146,1.32665
147,1.33179
148,1.32094
149,1.30731
150,1.28435
151,1.27153
152,1.25253
153,1.23259
154,1.18374
155,1.19351
156,1.1948
157,1.17887
158,1.17476
159,1.17041
160,1.17799
161,1.16582
162,1.15128
163,1.1549
164,1.17184
165,1.17011
166,1.15667
167,1.16554
168,1.16228
169,1.14068
170,1.13242
171,1.13165
172,1.10992
173,1.09508
174,1.10445
175,1.09813
176,1.06971
177,1.06958
178,1.06548
179,1.07835
180,1.10493
181,1.11639
182,1.13589
183,1.12745
184,1.14826
185,1.15235
186,1.16418
187,1.15984
188,1.15673
189,1.17792
190,1.19
191,1.19226
192,1.18575
193,1.17907
194,1.18419
195,1.18278
196,1.16777
197,1.14995
198,1.14434
199,1.13445
200,1.12181
201,1.13172
202,1.14505
203,1.15662
204,1.15852
205,1.1548
206,1.15788
207,1.15635
208,1.15981
209,1.17872
210,1.18613
211,1.18922
212,1.18978
213,1.17954
214,1.16197
215,1.15855
216,1.1743
217,1.18418
218,1.20296
219,1.21597
220,1.23709
221,1.24686
222,1.24188
223,1.24211
224,1.24384
225,1.24571
226,1.24776
227,1.25467
228,1.25318
229,1.24954
230,1.23691
231,1.21762
232,1.21271
233,1.21573
234,1.23625
235,1.25761
236,1.23946
237,1.22042
238,1.20627
239,1.21096
240,1.21588
241,1.20792
242,1.19444
243,1.18245
244,1.17215
245,1.16816
246,1.17455
247,1.17249
248,1.17692
249,1.18086
250,1.18783
251,1.19154
252,1.19073
253,1.18977
254,1.20016
255,1.21772
256,1.21438
257,1.21103
258,1.21145
259,1.20606
260,1.20349
261,1.20342
262,1.2067
263,1.22068
264,1.2391
265,1.24145
266,1.23804
267,1.23784
268,1.23472
269,1.23548
270,1.24252
271,1.24899
272,1.25412
273,1.25487
274,1.25605
275,1.25671
276,1.24824
277,1.22809
278,1.22449
279,1.22693
280,1.22161
281,1.22052
282,1.23652
283,1.25349
284,1.26074
285,1.26906
286,1.27905
287,1.28628
288,1.30236
289,1.3225
290,1.33532
291,1.33718
292,1.33343
293,1.32843
294,1.3196
295,1.31845
296,1.32575
297,1.32597
298,1.31817
299,1.31884
300,1.32513
301,1.32691
302,1.32786
303,1.32938
304,1.33635
305,1.34062
306,1.33751
307,1.33249
308,1.33491
309,1.35104
310,1.35695
311,1.34414
312,1.33987
313,1.33481
314,1.31568
315,1.2958
316,1.27245
317,1.24187
318,1.22417
319,1.21171
320,1.1795
321,1.19711
322,1.21266
323,1.22214
324,1.22646
325,1.2305
326,1.23628
327,1.2527
328,1.25755
329,1.26115
330,1.2679
331,1.27778
332,1.29109
333,1.30756
334,1.32972
335,1.35394
336,1.35842
337,1.35526
338,1.35464
339,1.35744
340,1.34911
341,1.32517
342,1.30662
343,1.30165
344,1.30835
345,1.31177
346,1.32149
347,1.329
348,1.327
349,1.331
350,1.322
351,1.313
352,1.308
353,1.302
354,1.302
355,1.318
356,1.32
357,1.313
358,1.308
359,1.302
360,1.296
361,1.299
